AVAPS-T06 STA 231221570 240818 113818.57
AVAPS-T06 COM            UTC     UTC       Air    Air     Rel   Wind   Wind   Vert      GPS        GPS     Geopoten GPS  Sonde  Sonde GPS Wind    GPS
AVAPS-T06 COM   Sonde    Date    Time     Press   Temp   Humid  Dir    Spd    Veloc  Longitude   Latitude  Altitude Wnd   RH1    RH2  Snd Error Altitude
AVAPS-T06 COM    ID     yymmdd hhmmss.ss   (mb)  (degC)   (%)   (deg)  (m/s)  (m/s)    (deg)       (deg)      (m)   Sat   (%)    (%)  Sat (m/s)    (m)
AVAPS-T06 COM --------- ------ --------- ------- ------ ------ ------ ------ ------ ----------- ---------- -------- --- ------ ------ --- ----- --------
AVAPS-D06 P10 231221570 240818 113850.00 9999.00  99.00 999.00 175.93 245.24   0.03  999.000000  99.000000 99999.00  13 999.00 999.00  13  0.13 99999.00
AVAPS-D06 P00 231221570 240818 113850.25  873.11  24.68  20.68 175.91 245.25   0.04  -27.495152  12.087906 99999.00  13  20.68 999.00  13  0.13 13318.03
AVAPS-D06 P10 231221570 240818 113850.50 9999.00  99.00 999.00 175.88 245.23   0.06  999.000000  99.000000 99999.00  13 999.00 999.00  13  0.13 99999.00
AVAPS-D06 P00 231221570 240818 113850.75  873.25  24.68  20.71 175.85 245.27   0.04  -27.495233  12.089009 99999.00  13  20.71 999.00  13  0.13 13318.09
AVAPS-D06 P10 231221570 240818 113851.00 9999.00  99.00 999.00 175.83 245.27   0.09  999.000000  99.000000 99999.00  13 999.00 999.00  13  0.13 99999.00
AVAPS-D06 P00 231221570 240818 113851.25  873.24  24.68  20.68 175.79 245.24   0.05  -27.495315  12.090113 99999.00  13  20.68 999.00  13  0.13 13318.17
AVAPS-D06 P10 231221570 240818 113851.50 9999.00  99.00 999.00 175.77 245.22   0.13  999.000000  99.000000 99999.00  13 999.00 999.00  13  0.13 99999.00
AVAPS-D06 P00 231221570 240818 113851.75  873.32  24.68  20.70 175.74 245.24   0.18  -27.495398  12.091216 99999.00  13  20.70 999.00  13  0.13 13318.24
AVAPS-D06 P10 231221570 240818 113852.00 9999.00  99.00 999.00 175.71 245.26   0.10  999.000000  99.000000 99999.00  13 999.00 999.00  13  0.13 99999.00
AVAPS-D06 P00 231221570 240818 113852.25  873.09  24.68  20.67 175.69 245.26   0.07  -27.495482  12.092319 99999.00  13  20.67 999.00  13  0.13 13318.33
AVAPS-D06 P10 231221570 240818 113852.50 9999.00  99.00 999.00 175.65 245.26   0.13  999.000000  99.000000 99999.00  13 999.00 999.00  13  0.13 99999.00
AVAPS-D06 P00 231221570 240818 113852.75  873.26  24.68  20.68 175.62 245.27   0.16  -27.495568  12.093422 99999.00  13  20.68 999.00  13  0.13 13318.43
AVAPS-D06 P10 231221570 240818 113853.00 9999.00  99.00 999.00 175.61 245.23   0.23  999.000000  99.000000 99999.00  13 999.00 999.00  13  0.13 99999.00
AVAPS-D06 P00 231221570 240818 113853.25  873.19  24.69  20.65 175.58 245.26   0.19  -27.495654  12.094525 99999.00  13  20.65 999.00  13  0.12 13318.55
AVAPS-D06 P10 231221570 240818 113853.50 9999.00  99.00 999.00 175.55 245.22   0.22  999.000000  99.000000 99999.00  13 999.00 999.00  13  0.12 99999.00
AVAPS-D06 P00 231221570 240818 113853.75  873.14  24.68  20.65 175.52 245.26   0.14  -27.495741  12.095628 99999.00  13  20.65 999.00  13  0.12 13318.66
AVAPS-D06 P10 231221570 240818 113854.00 9999.00  99.00 999.00 175.50 245.25   0.16  999.000000  99.000000 99999.00  13 999.00 999.00  13  0.12 99999.00
AVAPS-D06 P00 231221570 240818 113854.25  873.12  24.69  20.65 175.48 245.25   0.12  -27.495829  12.096731 99999.00  13  20.65 999.00  13  0.12 13318.74
AVAPS-D06 P10 231221570 240818 113854.50 9999.00  99.00 999.00 175.45 245.26   0.17  999.000000  99.000000 99999.00  13 999.00 999.00  13  0.12 99999.00
AVAPS-D06 P00 231221570 240818 113854.75  873.35  24.69  20.66 175.42 245.26   0.19  -27.495919  12.097834 99999.00  13  20.66 999.00  13  0.12 13318.80
AVAPS-D06 P10 231221570 240818 113855.00 9999.00  99.00 999.00 175.39 245.24   0.19  999.000000  99.000000 99999.00  13 999.00 999.00  13  0.12 99999.00
AVAPS-D06 P00 231221570 240818 113855.25  873.16  24.69  20.67 175.36 245.28   0.10  -27.496009  12.098936 99999.00  13  20.67 999.00  13  0.12 13318.84
AVAPS-D06 P10 231221570 240818 113855.50 9999.00  99.00 999.00 175.34 245.27   0.08  999.000000  99.000000 99999.00  13 999.00 999.00  13  0.12 99999.00
AVAPS-D06 P00 231221570 240818 113855.75  872.99  24.69  20.66 175.31 245.28   0.12  -27.496100  12.100039 99999.00  13  20.66 999.00  13  0.12 13318.86
AVAPS-D06 P10 231221570 240818 113856.00 9999.00  99.00 999.00 175.28 245.27   0.03  999.000000  99.000000 99999.00  13 999.00 999.00  13  0.12 99999.00
AVAPS-D06 P00 231221570 240818 113856.25  873.16  24.69  20.64 175.26 245.30   0.01  -27.496193  12.101142 99999.00  13  20.64 999.00  13  0.12 13318.89
AVAPS-D06 P10 231221570 240818 113856.50 9999.00  99.00 999.00 175.23 245.29   0.01  999.000000  99.000000 99999.00  13 999.00 999.00  13  0.12 99999.00
AVAPS-D06 P00 231221570 240818 113856.75  872.98  24.69  20.69 175.20 245.27   0.05  -27.496287  12.102244 99999.00  13  20.69 999.00  13  0.12 13318.88
AVAPS-D06 P10 231221570 240818 113857.00 9999.00  99.00 999.00 175.17 245.30   0.01  999.000000  99.000000 99999.00  13 999.00 999.00  13  0.12 99999.00
AVAPS-D06 P00 231221570 240818 113857.25  872.97  24.69  20.64 175.15 245.32  -0.02  -27.496381  12.103347 99999.00  13  20.64 999.00  13  0.12 13318.88
AVAPS-D06 P10 231221570 240818 113857.50 9999.00  99.00 999.00 175.13 245.26   0.05  999.000000  99.000000 99999.00  13 999.00 999.00  13  0.12 99999.00
AVAPS-D06 P00 231221570 240818 113857.75  872.95  24.69  20.67 175.10 245.26   0.10  -27.496477  12.104449 99999.00  13  20.67 999.00  13  0.12 13318.89
AVAPS-D06 P10 231221570 240818 113858.00 9999.00  99.00 999.00 175.08 245.28   0.07  999.000000  99.000000 99999.00  13 999.00 999.00  13  0.12 99999.00
AVAPS-D06 P00 231221570 240818 113858.25  873.20  24.69  20.67 175.05 245.30  -0.00  -27.496573  12.105552 99999.00  13  20.67 999.00  13  0.12 13318.89
AVAPS-D06 P10 231221570 240818 113858.50 9999.00  99.00 999.00 175.04 245.28   0.03  999.000000  99.000000 99999.00  13 999.00 999.00  13  0.12 99999.00
AVAPS-D06 P00 231221570 240818 113858.75  873.06  24.69  20.68 175.01 245.30   0.04  -27.496671  12.106654 99999.00  13  20.68 999.00  13  0.12 13318.87
AVAPS-D06 P10 231221570 240818 113859.00 9999.00  99.00 999.00 174.98 245.29   0.05  999.000000  99.000000 99999.00  13 999.00 999.00  13  0.12 99999.00
AVAPS-D06 P00 231221570 240818 113859.25  873.14  24.70  20.68 174.96 245.33   0.03  -27.496769  12.107756 99999.00  13  20.68 999.00  13  0.12 13318.86
AVAPS-D06 P10 231221570 240818 113859.50 9999.00  99.00 999.00 174.93 245.30   0.07  999.000000  99.000000 99999.00  13 999.00 999.00  13  0.12 99999.00
AVAPS-D06 P00 231221570 240818 113859.75  873.02  24.70  20.65 174.91 245.30   0.06  -27.496868  12.108859 99999.00  13  20.65 999.00  13  0.12 13318.87
AVAPS-D06 P10 231221570 240818 113900.00 9999.00  99.00 999.00 174.88 245.28   0.09  999.000000  99.000000 99999.00  13 999.00 999.00  13  0.12 99999.00
AVAPS-D06 P00 231221570 240818 113900.25  873.14  24.70  20.65 174.86 245.29   0.11  -27.496969  12.109961 99999.00  13  20.65 999.00  13  0.12 13318.90
AVAPS-D06 P10 231221570 240818 113900.50 9999.00  99.00 999.00 174.83 245.31   0.09  999.000000  99.000000 99999.00  13 999.00 999.00  13  0.12 99999.00
