FileType,AVAPS II Data
FileFormat,CSV
MessageType,3
Comment: This file contains raw and derived data for the AVAPS II Sonde Type specified above.
Comment: Sonde data frames are organized into data blocks ending with a <name> BLOCK error flag.
Comment: BLOCK error flag values: 0=no bit errors; 1=bit error(s); -999=block data missing.
Comment: Missing data or out of range data value flag: -999.
Comment: The Date & Time (UTC) column is formatted as an ISO-8601 string.
Labels,Data Date & Time (UTC),Data Time (sec),Frame Time (sec),Frame Type,Frame Count,FRAME BLOCK error (0-1),PTU Time (sec),RSS421 Pressure (mb),RSS421 Air Temp (C),RSS421 RH (%),RSS421 RH Temp (C),Mixing Ratio (g/Kg),Dewpoint Temp (C),Virtual Temp (C),Potential Temp (K),Equiv Potential Temp (K),PTU Vertical Velocity (m/s),Geopotential Altitude (m),PTU BLOCK error (0-1),GPS VEL Time (sec),GPS Wind Direction (deg),GPS Wind Speed (m/s),GPS U Wind (m/s),GPS V Wind (m/s),GPS W.S. Accuracy (m/s),GPS Vert Velocity (m/s),GPS MSL Altitude (m),GPS SOG (km/h),GPS COG (deg),GPS Satellites,GPS Fix Type,GPS VEL CRC-16,GPS VEL BLOCK error (0-1),GPS Longitude (deg),GPS Latitude (deg),GPS Horizontal Accuracy,GPS Vertical Accuracy,GPS POS CRC-16,GPS POS BLOCK error (0-1),Sea Surface Temp (C) ,SST (body temp) (C) ,Spare 1 (U16),Spare 2 (U16),Spare 3 (U16),Spare 4 (U16),Spare 5 (U16),Spare 6 (U16),Spare 7 (U16),PTU Module Status (U16),PTU Module Errors (U16),Parachute L.D. CDS (U16),GPS Resets Count (U8),GPS Loop Speed (U8),GPS Tracking Position (U8),MISC CRC-16,MISC BLOCK error (0-1),Sonde ID,Launch Detect Count,Battery Voltage (vdc),RSS421 Internal Temp (C),Revision Control,ENGR CRC-16,ENGR BLOCK error (0-1)
Data,2020-01-22 15:14:02.000Z,8.5,8.5,3,154,0,8.5,941.720703,26.83568,17.265104,33.039593,4.053497,-0.033261,27.573217,305.181918,315.619318,-999,-999,0,8.5,213.57,192.81,106.615322,160.65139,0.13,9.04,9323.26,192.81,33.57,11,3,15365,0,-58.572556,13.851285,1.08,1.38,30949,0,0,0,0,0,0,0,0,0,0,4104,0,20074,4,0,46,24984,0,192510289,0,6.039,27.803698,16690,35722,0
Data,2020-01-22 15:14:02.250Z,8.75,8.5,3,154,0,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,1,8.75,213.59,192.82,106.676926,160.622495,0.13,9.06,9325.46,192.82,33.59,11,3,4976,0,-999,-999,-999,-999,-999,1,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,1,192510289,0,6.039,27.803698,16690,35722,0
Data,2020-01-22 15:14:02.500Z,9,9,3,155,0,9,941.627258,26.861189,17.810412,33.060654,4.189132,0.416661,27.623366,305.216531,316.009572,-999,-999,0,9,213.63,192.81,106.783498,160.539655,0.13,9.03,9327.64,192.81,33.63,11,3,55663,0,-58.572063,13.852009,1.03,1.33,60739,0,0,0,0,0,0,0,0,0,0,4104,0,20074,4,0,46,24984,0,192510289,0,6.058,27.803698,16690,3129,0
Data,2020-01-22 15:14:02.750Z,9.25,9,3,155,0,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,1,9.25,213.65,192.8,106.833989,160.494046,0.13,9.06,9329.81,192.8,33.65,11,3,43147,0,-999,-999,-999,-999,-999,1,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,1,192510289,0,6.058,27.803698,16690,3129,0
Data,2020-01-22 15:14:03.000Z,9.5,9.5,3,156,0,9.5,941.638062,26.842539,18.073936,33.053196,4.246792,0.604723,27.615113,305.196556,316.140764,-999,-999,0,9.5,213.68,192.84,106.940191,160.471372,0.13,9.04,9331.99,192.84,33.68,11,3,12738,0,-58.571569,13.852733,0.98,1.26,7669,0,0,0,0,0,0,0,0,0,0,4104,0,20062,4,0,47,22638,0,192510289,0,6.02,27.83802,16690,847,0
Data,2020-01-22 15:14:03.250Z,9.75,9.5,3,156,0,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,1,9.75,213.71,192.82,107.013099,160.398719,0.13,9.06,9334.17,192.82,33.71,11,3,61345,0,-999,-999,-999,-999,-999,1,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,1,192510289,0,6.02,27.83802,16690,847,0
Data,2020-01-22 15:14:03.500Z,10,10,3,157,0,10,941.654785,26.79644,18.107177,33.02932,4.242968,0.592579,27.568204,305.148107,316.082261,-999,-999,0,10,213.74,192.83,107.102623,160.350981,0.13,9.05,9336.36,192.83,33.74,11,3,44927,0,-58.571075,13.853456,0.91,1.17,33514,0,0,0,0,0,0,0,0,0,0,4104,0,20068,4,0,46,15162,0,192510289,0,5.904,27.83802,16690,18194,0
Data,2020-01-22 15:14:03.750Z,10.25,10,3,157,0,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,1,10.25,213.77,192.84,107.192127,160.303193,0.13,9.07,9338.55,192.84,33.77,11,3,32981,0,-999,-999,-999,-999,-999,1,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,1,192510289,0,5.904,27.83802,16690,18194,0
Data,2020-01-22 15:14:04.000Z,10.5,10.5,3,158,0,10.5,941.654785,26.736923,18.015395,32.9786,4.206443,0.473719,27.501919,305.087558,315.925971,-999,-999,0,10.5,213.8,192.82,107.264921,160.230425,0.13,9.11,9340.76,192.82,33.8,11,3,47212,0,-58.570579,13.85418,0.86,1.1,61506,0,0,0,0,0,0,0,0,0,0,4104,0,20078,4,0,46,36946,0,192510289,0,6.103,27.83802,16690,5757,0
Data,2020-01-22 15:14:04.250Z,10.75,10.5,3,158,0,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,1,10.75,213.83,192.81,107.343235,160.165933,0.13,9.12,9342.96,192.81,33.83,11,3,41811,0,-999,-999,-999,-999,-999,1,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,1,192510289,0,6.103,27.83802,16690,5757,0
